2018-02-26 10:14:15.496290: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-26 10:14:15.674850: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 10.26GiB
2018-02-26 10:14:15.867077: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 8.69GiB
2018-02-26 10:14:15.867197: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-26 10:14:15.867223: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-26 10:14:15.867230: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-26 10:14:15.867235: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-26 10:14:15.867244: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-26 10:14:15.867252: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  93703
Epoch size:  1
Iterations:  64304
iter: 0	logppl: 11.359	valid ppl: 84825.726	test ppl: 84783.119
iter: 1000	logppl: 7.095	valid ppl: 1366.017	test ppl: 1365.751
iter: 2000	logppl: 6.434	valid ppl: 1301.870	test ppl: 1307.417
iter: 3000	logppl: 7.025	valid ppl: 1260.797	test ppl: 1269.249
iter: 4000	logppl: 7.350	valid ppl: 1244.102	test ppl: 1262.496
iter: 5000	logppl: 7.027	valid ppl: 1207.781	test ppl: 1220.029
iter: 6000	logppl: 7.044	valid ppl: 1199.667	test ppl: 1225.332
iter: 7000	logppl: 7.850	valid ppl: 1198.489	test ppl: 1220.631
iter: 8000	logppl: 7.611	valid ppl: 1187.586	test ppl: 1206.641
iter: 9000	logppl: 6.676	valid ppl: 1200.217	test ppl: 1217.541
iter: 10000	logppl: 6.876	valid ppl: 1185.291	test ppl: 1211.458
iter: 11000	logppl: 6.466	valid ppl: 1189.919	test ppl: 1219.459
iter: 12000	logppl: 7.776	valid ppl: 1177.013	test ppl: 1201.807
iter: 13000	logppl: 6.454	valid ppl: 1169.546	test ppl: 1192.255
iter: 14000	logppl: 6.283	valid ppl: 1166.906	test ppl: 1195.865
iter: 15000	logppl: 7.634	valid ppl: 1165.497	test ppl: 1201.480
iter: 16000	logppl: 7.835	valid ppl: 1159.247	test ppl: 1192.049
iter: 17000	logppl: 7.125	valid ppl: 1171.145	test ppl: 1210.826
iter: 18000	logppl: 7.243	valid ppl: 1158.347	test ppl: 1201.298
iter: 19000	logppl: 7.061	valid ppl: 1158.932	test ppl: 1188.207
iter: 20000	logppl: 7.808	valid ppl: 1174.021	test ppl: 1203.246
iter: 21000	logppl: 6.100	valid ppl: 1159.428	test ppl: 1181.597
iter: 22000	logppl: 6.834	valid ppl: 1171.895	test ppl: 1183.090
iter: 23000	logppl: 7.982	valid ppl: 1163.969	test ppl: 1195.099
