2018-02-26 10:14:14.243673: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-26 10:14:14.426191: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.57GiB
2018-02-26 10:14:14.426225: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  93703
Epoch size:  1
Iterations:  64304
iter: 0	loss: 11.430	valid ppl: 90779.735	test ppl: 90883.313
iter: 1000	loss: 6.742	valid ppl: 1146.780	test ppl: 1148.952
iter: 2000	loss: 5.877	valid ppl: 838.551	test ppl: 838.482
iter: 3000	loss: 6.192	valid ppl: 702.189	test ppl: 704.215
iter: 4000	loss: 6.541	valid ppl: 640.603	test ppl: 648.096
iter: 5000	loss: 6.093	valid ppl: 593.366	test ppl: 597.674
iter: 6000	loss: 6.141	valid ppl: 561.538	test ppl: 572.773
iter: 7000	loss: 7.223	valid ppl: 543.071	test ppl: 555.184
iter: 8000	loss: 6.167	valid ppl: 522.554	test ppl: 531.390
iter: 9000	loss: 5.726	valid ppl: 516.906	test ppl: 526.831
iter: 10000	loss: 5.943	valid ppl: 493.425	test ppl: 507.524
iter: 11000	loss: 5.428	valid ppl: 480.173	test ppl: 494.783
iter: 12000	loss: 7.063	valid ppl: 471.566	test ppl: 486.214
iter: 13000	loss: 5.098	valid ppl: 458.687	test ppl: 469.820
iter: 14000	loss: 5.450	valid ppl: 453.888	test ppl: 468.095
iter: 15000	loss: 7.066	valid ppl: 448.604	test ppl: 465.712
iter: 16000	loss: 6.362	valid ppl: 433.416	test ppl: 451.118
iter: 17000	loss: 5.957	valid ppl: 437.738	test ppl: 457.108
iter: 18000	loss: 6.455	valid ppl: 425.331	test ppl: 445.484
iter: 19000	loss: 5.657	valid ppl: 419.694	test ppl: 436.779
iter: 20000	loss: 6.664	valid ppl: 420.740	test ppl: 438.146
iter: 21000	loss: 4.693	valid ppl: 413.696	test ppl: 426.983
iter: 22000	loss: 5.383	valid ppl: 414.933	test ppl: 427.419
iter: 23000	loss: 7.098	valid ppl: 407.630	test ppl: 423.883
iter: 24000	loss: 6.929	valid ppl: 405.875	test ppl: 422.823
iter: 25000	loss: 5.008	valid ppl: 398.036	test ppl: 416.154
iter: 26000	loss: 6.578	valid ppl: 398.558	test ppl: 414.866
iter: 27000	loss: 6.871	valid ppl: 396.741	test ppl: 412.006
iter: 28000	loss: 5.361	valid ppl: 396.221	test ppl: 413.625
iter: 29000	loss: 5.773	valid ppl: 393.641	test ppl: 409.944
iter: 30000	loss: 6.387	valid ppl: 389.541	test ppl: 408.003
iter: 31000	loss: 6.206	valid ppl: 395.844	test ppl: 413.676
iter: 32000	loss: 5.767	valid ppl: 389.343	test ppl: 407.914
iter: 33000	loss: 6.172	valid ppl: 386.842	test ppl: 381.008
iter: 34000	loss: 7.093	valid ppl: 394.712	test ppl: 371.378
iter: 35000	loss: 7.107	valid ppl: 394.357	test ppl: 362.713
iter: 36000	loss: 5.174	valid ppl: 399.954	test ppl: 359.074
iter: 37000	loss: 8.070	valid ppl: 395.253	test ppl: 354.873
iter: 38000	loss: 5.699	valid ppl: 399.947	test ppl: 356.607
iter: 39000	loss: 6.275	valid ppl: 394.244	test ppl: 347.456
iter: 40000	loss: 5.334	valid ppl: 392.401	test ppl: 344.655
iter: 41000	loss: 7.451	valid ppl: 398.152	test ppl: 345.245
iter: 42000	loss: 6.595	valid ppl: 399.194	test ppl: 342.040
iter: 43000	loss: 6.063	valid ppl: 401.642	test ppl: 342.562
iter: 44000	loss: 6.387	valid ppl: 399.910	test ppl: 336.167
iter: 45000	loss: 5.665	valid ppl: 402.072	test ppl: 338.092
iter: 46000	loss: 5.987	valid ppl: 395.571	test ppl: 333.331
iter: 47000	loss: 5.850	valid ppl: 397.268	test ppl: 331.527
iter: 48000	loss: 5.442	valid ppl: 395.754	test ppl: 330.602
iter: 49000	loss: 4.871	valid ppl: 398.218	test ppl: 331.771
iter: 50000	loss: 5.581	valid ppl: 397.702	test ppl: 329.420
iter: 51000	loss: 5.063	valid ppl: 395.410	test ppl: 328.290
iter: 52000	loss: 5.435	valid ppl: 398.316	test ppl: 328.055
iter: 53000	loss: 5.005	valid ppl: 394.671	test ppl: 324.869
iter: 54000	loss: 5.721	valid ppl: 397.555	test ppl: 325.317
iter: 55000	loss: 5.334	valid ppl: 394.702	test ppl: 322.595
iter: 56000	loss: 5.591	valid ppl: 396.845	test ppl: 322.457
iter: 57000	loss: 5.236	valid ppl: 399.685	test ppl: 322.416
iter: 58000	loss: 5.664	valid ppl: 401.805	test ppl: 322.624
iter: 59000	loss: 4.884	valid ppl: 398.854	test ppl: 320.481
iter: 60000	loss: 6.022	valid ppl: 395.050	test ppl: 321.593
iter: 61000	loss: 4.345	valid ppl: 393.620	test ppl: 317.310
iter: 62000	loss: 5.775	valid ppl: 401.820	test ppl: 321.426
iter: 63000	loss: 6.884	valid ppl: 398.364	test ppl: 317.318
iter: 64000	loss: 5.268	valid ppl: 392.979	test ppl: 317.010
