2018-02-26 10:14:13.908093: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-26 10:14:14.073721: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 10.15GiB
2018-02-26 10:14:14.073753: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  93703
Epoch size:  1
Iterations:  64304
iter: 0	loss: 11.342	valid ppl: 84730.810	test ppl: 84754.181
iter: 1000	loss: 7.050	valid ppl: 4038.519	test ppl: 4063.400
iter: 2000	loss: 5.856	valid ppl: 2699.236	test ppl: 2660.737
iter: 3000	loss: 6.863	valid ppl: 2384.452	test ppl: 2332.410
iter: 4000	loss: 7.809	valid ppl: 2123.642	test ppl: 2113.640
iter: 5000	loss: 7.509	valid ppl: 2196.335	test ppl: 2256.122
iter: 6000	loss: 7.662	valid ppl: 2035.858	test ppl: 2082.491
iter: 7000	loss: 7.934	valid ppl: 1931.349	test ppl: 1938.072
iter: 8000	loss: 7.681	valid ppl: 1722.006	test ppl: 1744.228
iter: 9000	loss: 6.827	valid ppl: 1628.580	test ppl: 1651.957
iter: 10000	loss: 7.020	valid ppl: 1646.953	test ppl: 1674.233
iter: 11000	loss: 9.148	valid ppl: 1761.867	test ppl: 1783.991
iter: 12000	loss: 6.677	valid ppl: 1708.188	test ppl: 1712.946
iter: 13000	loss: 7.130	valid ppl: 1916.252	test ppl: 1957.063
iter: 14000	loss: 6.976	valid ppl: 1590.422	test ppl: 1607.521
iter: 15000	loss: 7.609	valid ppl: 1650.838	test ppl: 1674.975
iter: 16000	loss: 7.035	valid ppl: 1663.851	test ppl: 1704.529
iter: 17000	loss: 6.875	valid ppl: 1687.630	test ppl: 1701.101
iter: 18000	loss: 7.435	valid ppl: 1849.301	test ppl: 1853.483
iter: 19000	loss: 6.547	valid ppl: 1648.948	test ppl: 1658.274
iter: 20000	loss: 6.967	valid ppl: 1578.425	test ppl: 1578.454
iter: 21000	loss: 8.502	valid ppl: 1686.066	test ppl: 1679.348
iter: 22000	loss: 8.223	valid ppl: 1588.588	test ppl: 1619.004
iter: 23000	loss: 7.718	valid ppl: 1629.843	test ppl: 1643.346
iter: 24000	loss: 5.791	valid ppl: 1557.385	test ppl: 1581.430
iter: 25000	loss: 7.713	valid ppl: 1769.221	test ppl: 1769.744
iter: 26000	loss: 9.241	valid ppl: 1660.508	test ppl: 1644.886
iter: 27000	loss: 7.397	valid ppl: 1667.381	test ppl: 1693.845
iter: 28000	loss: 8.410	valid ppl: 1616.828	test ppl: 1637.726
iter: 29000	loss: 9.717	valid ppl: 1557.543	test ppl: 1577.783
iter: 30000	loss: 7.466	valid ppl: 1543.973	test ppl: 1574.008
iter: 31000	loss: 7.461	valid ppl: 1629.723	test ppl: 1625.085
iter: 32000	loss: 6.533	valid ppl: 1559.305	test ppl: 1582.650
iter: 33000	loss: 6.959	valid ppl: 1550.034	test ppl: 1579.005
iter: 34000	loss: 7.378	valid ppl: 1570.589	test ppl: 1614.297
iter: 35000	loss: 5.814	valid ppl: 1606.140	test ppl: 1620.937
iter: 36000	loss: 6.928	valid ppl: 1659.536	test ppl: 1700.284
iter: 37000	loss: 8.157	valid ppl: 1861.708	test ppl: 1883.156
iter: 38000	loss: 7.561	valid ppl: 1776.169	test ppl: 1790.366
iter: 39000	loss: 7.430	valid ppl: 1617.905	test ppl: 1635.413
iter: 40000	loss: 6.719	valid ppl: 1628.464	test ppl: 1665.639
iter: 41000	loss: 6.481	valid ppl: 1598.749	test ppl: 1627.382
iter: 42000	loss: 8.199	valid ppl: 1598.389	test ppl: 1621.410
iter: 43000	loss: 6.628	valid ppl: 1617.440	test ppl: 1630.607
iter: 44000	loss: 7.292	valid ppl: 1941.375	test ppl: 1962.346
iter: 45000	loss: 7.843	valid ppl: 1763.034	test ppl: 1731.638
iter: 46000	loss: 6.563	valid ppl: 1628.233	test ppl: 1643.035
iter: 47000	loss: 6.762	valid ppl: 1658.511	test ppl: 1682.256
iter: 48000	loss: 8.347	valid ppl: 1696.907	test ppl: 1714.112
iter: 49000	loss: 7.997	valid ppl: 1651.289	test ppl: 1662.235
iter: 50000	loss: 9.376	valid ppl: 1935.137	test ppl: 1956.489
iter: 51000	loss: 6.995	valid ppl: 1844.263	test ppl: 1855.463
iter: 52000	loss: 6.492	valid ppl: 1680.502	test ppl: 1681.514
iter: 53000	loss: 7.085	valid ppl: 1758.585	test ppl: 1760.558
iter: 54000	loss: 7.315	valid ppl: 1723.623	test ppl: 1743.744
iter: 55000	loss: 9.716	valid ppl: 1664.128	test ppl: 1669.852
iter: 56000	loss: 6.514	valid ppl: 1818.115	test ppl: 1830.732
iter: 57000	loss: 9.343	valid ppl: 1717.986	test ppl: 1748.271
iter: 58000	loss: 6.505	valid ppl: 1711.515	test ppl: 1720.042
iter: 59000	loss: 6.959	valid ppl: 1667.269	test ppl: 1697.574
iter: 60000	loss: 9.326	valid ppl: 2203.278	test ppl: 2252.307
iter: 61000	loss: 9.097	valid ppl: 1812.457	test ppl: 1848.218
iter: 62000	loss: 8.012	valid ppl: 1773.961	test ppl: 1815.734
iter: 63000	loss: 7.124	valid ppl: 1678.909	test ppl: 1726.047
iter: 64000	loss: 8.180	valid ppl: 1787.046	test ppl: 1833.511
