2018-02-25 17:50:11.292607: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:50:12.425963: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 10.75GiB
2018-02-25 17:50:12.644389: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 10.20GiB
2018-02-25 17:50:12.645050: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-25 17:50:12.645077: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-25 17:50:12.645084: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-25 17:50:12.645088: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-25 17:50:12.645098: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-25 17:50:12.645103: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  17064
Epoch size:  20
Iterations:  31371
iter: 0	logppl: 9.637	valid ppl: 15474.356	test ppl: 15458.977
iter: 1000	logppl: 7.506	valid ppl: 915.505	test ppl: 913.619
iter: 2000	logppl: 6.856	valid ppl: 866.874	test ppl: 865.622
iter: 3000	logppl: 7.187	valid ppl: 847.735	test ppl: 841.713
iter: 4000	logppl: 6.855	valid ppl: 849.180	test ppl: 842.597
iter: 5000	logppl: 7.063	valid ppl: 890.746	test ppl: 892.102
iter: 6000	logppl: 6.894	valid ppl: 860.814	test ppl: 850.107
iter: 7000	logppl: 6.913	valid ppl: 870.023	test ppl: 871.612
iter: 8000	logppl: 6.875	valid ppl: 883.150	test ppl: 881.539
iter: 9000	logppl: 7.302	valid ppl: 895.505	test ppl: 882.305
iter: 10000	logppl: 6.732	valid ppl: 896.319	test ppl: 890.722
iter: 11000	logppl: 6.690	valid ppl: 900.605	test ppl: 889.948
iter: 12000	logppl: 7.186	valid ppl: 914.901	test ppl: 901.092
iter: 13000	logppl: 6.631	valid ppl: 928.658	test ppl: 922.045
iter: 14000	logppl: 6.531	valid ppl: 936.641	test ppl: 920.856
iter: 15000	logppl: 6.779	valid ppl: 949.165	test ppl: 930.421
iter: 16000	logppl: 6.925	valid ppl: 980.127	test ppl: 967.529
iter: 17000	logppl: 6.419	valid ppl: 992.522	test ppl: 969.552
iter: 18000	logppl: 6.707	valid ppl: 981.803	test ppl: 974.861
iter: 19000	logppl: 6.883	valid ppl: 1010.537	test ppl: 1004.323
iter: 20000	logppl: 6.663	valid ppl: 1046.667	test ppl: 1025.101
iter: 21000	logppl: 6.457	valid ppl: 1025.678	test ppl: 1024.792
iter: 22000	logppl: 6.560	valid ppl: 1050.938	test ppl: 1042.233
iter: 23000	logppl: 6.251	valid ppl: 1070.470	test ppl: 1055.809
iter: 24000	logppl: 6.981	valid ppl: 1059.663	test ppl: 1063.229
iter: 25000	logppl: 6.266	valid ppl: 1117.378	test ppl: 1103.136
iter: 26000	logppl: 6.389	valid ppl: 1106.717	test ppl: 1090.646
iter: 27000	logppl: 6.831	valid ppl: 1136.357	test ppl: 1135.187
iter: 28000	logppl: 6.576	valid ppl: 1143.380	test ppl: 1131.574
iter: 29000	logppl: 6.045	valid ppl: 1133.070	test ppl: 1140.722
iter: 30000	logppl: 6.625	valid ppl: 1187.006	test ppl: 1187.388
iter: 31000	logppl: 6.315	valid ppl: 1196.365	test ppl: 1185.573
