2018-02-25 17:50:12.653410: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:50:12.858749: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 10.58GiB
2018-02-25 17:50:13.034493: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.90GiB
2018-02-25 17:50:13.034611: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-25 17:50:13.034637: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-25 17:50:13.034645: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-25 17:50:13.034649: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-25 17:50:13.034657: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-25 17:50:13.034663: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  17064
Epoch size:  20
Iterations:  31371
iter: 0	logppl: 9.639	valid ppl: 15350.203	test ppl: 15350.462
iter: 1000	logppl: 7.178	valid ppl: 537.414	test ppl: 537.281
iter: 2000	logppl: 6.066	valid ppl: 412.707	test ppl: 409.453
iter: 3000	logppl: 6.326	valid ppl: 360.933	test ppl: 356.141
iter: 4000	logppl: 5.752	valid ppl: 325.639	test ppl: 321.693
iter: 5000	logppl: 5.890	valid ppl: 303.867	test ppl: 299.475
iter: 6000	logppl: 5.421	valid ppl: 294.629	test ppl: 290.054
iter: 7000	logppl: 5.416	valid ppl: 289.289	test ppl: 285.881
iter: 8000	logppl: 5.194	valid ppl: 285.310	test ppl: 282.229
iter: 9000	logppl: 5.688	valid ppl: 290.454	test ppl: 287.404
iter: 10000	logppl: 5.125	valid ppl: 282.115	test ppl: 279.749
iter: 11000	logppl: 4.941	valid ppl: 291.425	test ppl: 289.768
iter: 12000	logppl: 5.236	valid ppl: 289.435	test ppl: 287.301
iter: 13000	logppl: 4.837	valid ppl: 289.341	test ppl: 287.344
iter: 14000	logppl: 4.819	valid ppl: 301.235	test ppl: 300.288
iter: 15000	logppl: 4.586	valid ppl: 301.463	test ppl: 299.392
iter: 16000	logppl: 4.919	valid ppl: 304.318	test ppl: 302.959
iter: 17000	logppl: 4.311	valid ppl: 312.934	test ppl: 312.235
iter: 18000	logppl: 4.722	valid ppl: 316.010	test ppl: 315.437
iter: 19000	logppl: 4.673	valid ppl: 323.304	test ppl: 321.918
iter: 20000	logppl: 4.723	valid ppl: 333.423	test ppl: 332.478
iter: 21000	logppl: 4.485	valid ppl: 332.623	test ppl: 332.375
iter: 22000	logppl: 4.686	valid ppl: 343.449	test ppl: 343.648
iter: 23000	logppl: 4.322	valid ppl: 352.384	test ppl: 351.887
iter: 24000	logppl: 4.690	valid ppl: 354.343	test ppl: 353.454
iter: 25000	logppl: 4.551	valid ppl: 368.992	test ppl: 370.127
iter: 26000	logppl: 4.434	valid ppl: 374.623	test ppl: 373.744
iter: 27000	logppl: 4.925	valid ppl: 378.145	test ppl: 379.077
iter: 28000	logppl: 4.423	valid ppl: 392.150	test ppl: 393.095
iter: 29000	logppl: 4.033	valid ppl: 392.887	test ppl: 394.343
iter: 30000	logppl: 4.721	valid ppl: 404.928	test ppl: 403.859
iter: 31000	logppl: 4.131	valid ppl: 419.148	test ppl: 417.809
