2018-02-25 17:50:10.090244: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:50:12.426399: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 10.46GiB
2018-02-25 17:50:12.426424: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  17064
Epoch size:  20
Iterations:  31371
iter: 0	loss: 9.662	valid ppl: 15431.254	test ppl: 15424.209
iter: 1000	loss: 7.324	valid ppl: 1167.507	test ppl: 1222.773
iter: 2000	loss: 6.916	valid ppl: 919.307	test ppl: 957.924
iter: 3000	loss: 7.152	valid ppl: 844.557	test ppl: 883.792
iter: 4000	loss: 6.919	valid ppl: 854.566	test ppl: 893.566
iter: 5000	loss: 6.906	valid ppl: 865.149	test ppl: 897.743
iter: 6000	loss: 6.961	valid ppl: 844.189	test ppl: 885.473
iter: 7000	loss: 6.049	valid ppl: 811.218	test ppl: 860.855
iter: 8000	loss: 6.387	valid ppl: 793.410	test ppl: 840.176
iter: 9000	loss: 6.109	valid ppl: 813.980	test ppl: 864.401
iter: 10000	loss: 6.856	valid ppl: 867.155	test ppl: 912.625
iter: 11000	loss: 6.956	valid ppl: 892.361	test ppl: 939.323
iter: 12000	loss: 7.409	valid ppl: 914.532	test ppl: 975.352
iter: 13000	loss: 6.679	valid ppl: 894.463	test ppl: 949.335
iter: 14000	loss: 6.721	valid ppl: 907.896	test ppl: 974.039
iter: 15000	loss: 6.386	valid ppl: 926.184	test ppl: 973.572
iter: 16000	loss: 6.829	valid ppl: 991.724	test ppl: 1047.424
iter: 17000	loss: 6.205	valid ppl: 1041.422	test ppl: 1089.680
iter: 18000	loss: 6.519	valid ppl: 1076.580	test ppl: 1134.503
iter: 19000	loss: 6.925	valid ppl: 1082.415	test ppl: 1142.441
iter: 20000	loss: 7.046	valid ppl: 1093.853	test ppl: 1178.260
iter: 21000	loss: 5.924	valid ppl: 1130.527	test ppl: 1194.480
iter: 22000	loss: 6.980	valid ppl: 1181.771	test ppl: 1228.974
iter: 23000	loss: 6.449	valid ppl: 1280.690	test ppl: 1333.286
iter: 24000	loss: 7.259	valid ppl: 1322.201	test ppl: 1382.429
iter: 25000	loss: 7.392	valid ppl: 1353.088	test ppl: 1440.563
iter: 26000	loss: 7.273	valid ppl: 1352.582	test ppl: 1447.452
iter: 27000	loss: 6.738	valid ppl: 1374.276	test ppl: 1455.123
iter: 28000	loss: 7.013	valid ppl: 1396.359	test ppl: 1501.639
iter: 29000	loss: 6.085	valid ppl: 1551.820	test ppl: 1629.006
iter: 30000	loss: 6.659	valid ppl: 1668.073	test ppl: 1744.424
iter: 31000	loss: 6.767	valid ppl: 1709.771	test ppl: 1834.676
