2018-02-25 17:52:31.568800: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:31.748762: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 10.19GiB
2018-02-25 17:52:31.929018: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.06GiB
2018-02-25 17:52:31.929188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-25 17:52:31.929228: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-25 17:52:31.929243: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-25 17:52:31.929251: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-25 17:52:31.929264: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-25 17:52:31.929274: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 0	logppl: 10.376	valid ppl: 32746.495	test ppl: 32771.580
iter: 1000	logppl: 7.071	valid ppl: 1416.129	test ppl: 1379.678
iter: 2000	logppl: 7.210	valid ppl: 1340.732	test ppl: 1306.071
iter: 3000	logppl: 7.015	valid ppl: 1298.869	test ppl: 1255.401
iter: 4000	logppl: 7.315	valid ppl: 1237.155	test ppl: 1201.263
iter: 5000	logppl: 6.880	valid ppl: 1193.479	test ppl: 1166.238
iter: 6000	logppl: 8.180	valid ppl: 1179.938	test ppl: 1161.658
iter: 7000	logppl: 7.718	valid ppl: 1169.623	test ppl: 1154.346
iter: 8000	logppl: 7.205	valid ppl: 1132.525	test ppl: 1112.462
iter: 9000	logppl: 7.419	valid ppl: 1139.306	test ppl: 1123.871
iter: 10000	logppl: 7.198	valid ppl: 1169.464	test ppl: 1152.168
iter: 11000	logppl: 6.591	valid ppl: 1139.472	test ppl: 1123.210
iter: 12000	logppl: 7.493	valid ppl: 1139.020	test ppl: 1123.421
iter: 13000	logppl: 7.253	valid ppl: 1129.498	test ppl: 1109.584
iter: 14000	logppl: 6.794	valid ppl: 1106.541	test ppl: 1094.123
iter: 15000	logppl: 7.264	valid ppl: 1078.466	test ppl: 1071.153
iter: 16000	logppl: 7.329	valid ppl: 1083.485	test ppl: 1073.082
iter: 17000	logppl: 7.068	valid ppl: 1088.896	test ppl: 1072.505
iter: 18000	logppl: 7.164	valid ppl: 1081.745	test ppl: 1067.892
iter: 19000	logppl: 6.776	valid ppl: 1062.935	test ppl: 1047.327
iter: 20000	logppl: 7.353	valid ppl: 1158.081	test ppl: 1148.460
iter: 21000	logppl: 7.848	valid ppl: 1091.279	test ppl: 1076.362
iter: 22000	logppl: 7.706	valid ppl: 1096.646	test ppl: 1065.456
iter: 23000	logppl: 6.989	valid ppl: 1074.858	test ppl: 1056.334
