2018-02-25 17:52:30.684327: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:30.862259: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.60GiB
2018-02-25 17:52:30.862294: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 0	loss: 10.461	valid ppl: 35409.049	test ppl: 35400.298
iter: 1000	loss: 7.303	valid ppl: 1193.563	test ppl: 1163.648
iter: 2000	loss: 6.714	valid ppl: 920.045	test ppl: 889.378
iter: 3000	loss: 6.257	valid ppl: 742.068	test ppl: 702.148
iter: 4000	loss: 6.828	valid ppl: 633.036	test ppl: 593.919
iter: 5000	loss: 6.272	valid ppl: 567.262	test ppl: 531.454
iter: 6000	loss: 7.148	valid ppl: 528.681	test ppl: 497.924
iter: 7000	loss: 7.250	valid ppl: 494.237	test ppl: 465.704
iter: 8000	loss: 6.362	valid ppl: 449.840	test ppl: 421.521
iter: 9000	loss: 6.468	valid ppl: 442.364	test ppl: 417.210
iter: 10000	loss: 6.448	valid ppl: 421.188	test ppl: 394.523
iter: 11000	loss: 4.764	valid ppl: 399.967	test ppl: 376.222
iter: 12000	loss: 6.771	valid ppl: 390.282	test ppl: 367.700
iter: 13000	loss: 6.432	valid ppl: 385.811	test ppl: 362.168
iter: 14000	loss: 6.033	valid ppl: 374.341	test ppl: 352.439
iter: 15000	loss: 5.785	valid ppl: 371.051	test ppl: 349.976
iter: 16000	loss: 5.922	valid ppl: 353.821	test ppl: 334.509
iter: 17000	loss: 5.383	valid ppl: 353.298	test ppl: 332.410
iter: 18000	loss: 6.321	valid ppl: 342.596	test ppl: 322.610
iter: 19000	loss: 5.929	valid ppl: 342.946	test ppl: 325.067
iter: 20000	loss: 6.595	valid ppl: 341.884	test ppl: 324.890
iter: 21000	loss: 6.794	valid ppl: 335.581	test ppl: 317.117
iter: 22000	loss: 6.958	valid ppl: 336.097	test ppl: 312.070
iter: 23000	loss: 5.140	valid ppl: 335.676	test ppl: 313.463
iter: 24000	loss: 6.885	valid ppl: 329.786	test ppl: 309.663
iter: 25000	loss: 5.938	valid ppl: 329.983	test ppl: 311.629
iter: 26000	loss: 6.190	valid ppl: 324.963	test ppl: 305.666
iter: 27000	loss: 6.016	valid ppl: 325.359	test ppl: 304.826
iter: 28000	loss: 5.024	valid ppl: 315.445	test ppl: 296.129
iter: 29000	loss: 4.897	valid ppl: 330.724	test ppl: 310.931
iter: 30000	loss: 5.204	valid ppl: 322.882	test ppl: 304.400
iter: 31000	loss: 5.248	valid ppl: 319.540	test ppl: 298.193
iter: 32000	loss: 5.109	valid ppl: 322.813	test ppl: 299.872
iter: 33000	loss: 4.792	valid ppl: 322.068	test ppl: 301.041
iter: 34000	loss: 4.906	valid ppl: 320.317	test ppl: 300.767
iter: 35000	loss: 5.508	valid ppl: 323.468	test ppl: 305.984
iter: 36000	loss: 5.301	valid ppl: 316.138	test ppl: 295.943
iter: 37000	loss: 5.426	valid ppl: 314.683	test ppl: 294.192
iter: 38000	loss: 5.942	valid ppl: 325.057	test ppl: 305.549
iter: 39000	loss: 5.378	valid ppl: 320.366	test ppl: 303.220
iter: 40000	loss: 4.873	valid ppl: 318.018	test ppl: 298.936
iter: 41000	loss: 4.973	valid ppl: 325.566	test ppl: 301.978
iter: 42000	loss: 5.577	valid ppl: 318.672	test ppl: 298.444
iter: 43000	loss: 5.110	valid ppl: 323.317	test ppl: 303.548
iter: 44000	loss: 6.210	valid ppl: 320.637	test ppl: 302.351
iter: 45000	loss: 4.850	valid ppl: 319.525	test ppl: 297.200
iter: 46000	loss: 5.138	valid ppl: 315.873	test ppl: 296.193
iter: 47000	loss: 4.878	valid ppl: 310.550	test ppl: 292.703
iter: 48000	loss: 4.969	valid ppl: 322.598	test ppl: 303.096
iter: 49000	loss: 5.605	valid ppl: 322.668	test ppl: 302.993
iter: 50000	loss: 5.571	valid ppl: 321.049	test ppl: 298.646
iter: 51000	loss: 5.667	valid ppl: 320.411	test ppl: 298.769
iter: 52000	loss: 4.884	valid ppl: 327.588	test ppl: 304.862
iter: 53000	loss: 6.298	valid ppl: 330.706	test ppl: 308.989
iter: 54000	loss: 5.918	valid ppl: 329.347	test ppl: 307.577
iter: 55000	loss: 5.166	valid ppl: 322.321	test ppl: 300.692
iter: 56000	loss: 5.687	valid ppl: 322.865	test ppl: 303.410
iter: 57000	loss: 5.157	valid ppl: 330.560	test ppl: 308.932
iter: 58000	loss: 5.918	valid ppl: 329.089	test ppl: 308.027
iter: 59000	loss: 4.750	valid ppl: 325.425	test ppl: 303.887
iter: 60000	loss: 5.257	valid ppl: 332.201	test ppl: 308.799
iter: 61000	loss: 5.376	valid ppl: 332.017	test ppl: 310.063
iter: 62000	loss: 6.190	valid ppl: 335.937	test ppl: 314.134
iter: 63000	loss: 4.932	valid ppl: 332.467	test ppl: 311.469
iter: 64000	loss: 5.349	valid ppl: 338.474	test ppl: 315.480
iter: 65000	loss: 5.627	valid ppl: 333.899	test ppl: 311.414
iter: 66000	loss: 5.427	valid ppl: 329.656	test ppl: 310.959
iter: 67000	loss: 5.476	valid ppl: 337.444	test ppl: 317.442
iter: 68000	loss: 5.186	valid ppl: 333.002	test ppl: 311.926
iter: 69000	loss: 4.894	valid ppl: 338.436	test ppl: 312.736
iter: 70000	loss: 5.578	valid ppl: 337.743	test ppl: 313.020
iter: 71000	loss: 5.296	valid ppl: 338.626	test ppl: 315.470
iter: 72000	loss: 5.293	valid ppl: 338.655	test ppl: 317.377
iter: 73000	loss: 5.354	valid ppl: 343.512	test ppl: 317.359
iter: 74000	loss: 5.327	valid ppl: 340.938	test ppl: 317.526
iter: 75000	loss: 5.516	valid ppl: 339.841	test ppl: 317.350
iter: 76000	loss: 4.494	valid ppl: 339.138	test ppl: 316.714
iter: 77000	loss: 5.429	valid ppl: 343.397	test ppl: 319.969
iter: 78000	loss: 5.435	valid ppl: 340.959	test ppl: 315.271
iter: 79000	loss: 5.638	valid ppl: 343.359	test ppl: 318.727
iter: 80000	loss: 5.142	valid ppl: 348.069	test ppl: 322.078
iter: 81000	loss: 4.971	valid ppl: 361.097	test ppl: 334.883
iter: 82000	loss: 4.623	valid ppl: 352.300	test ppl: 329.249
iter: 83000	loss: 5.591	valid ppl: 347.678	test ppl: 323.946
iter: 84000	loss: 5.454	valid ppl: 349.325	test ppl: 324.900
iter: 85000	loss: 2.263	valid ppl: 348.216	test ppl: 325.974
iter: 86000	loss: 4.551	valid ppl: 348.950	test ppl: 325.950
iter: 87000	loss: 4.145	valid ppl: 349.292	test ppl: 324.397
iter: 88000	loss: 5.806	valid ppl: 355.552	test ppl: 328.569
iter: 89000	loss: 5.275	valid ppl: 357.227	test ppl: 332.859
iter: 90000	loss: 4.329	valid ppl: 361.761	test ppl: 335.998
iter: 91000	loss: 4.867	valid ppl: 354.016	test ppl: 329.691
iter: 92000	loss: 4.614	valid ppl: 366.601	test ppl: 340.949
iter: 93000	loss: 5.135	valid ppl: 354.139	test ppl: 330.000
iter: 94000	loss: 5.080	valid ppl: 346.975	test ppl: 325.643
iter: 95000	loss: 4.957	valid ppl: 357.400	test ppl: 335.041
iter: 96000	loss: 4.873	valid ppl: 354.577	test ppl: 330.445
iter: 97000	loss: 5.190	valid ppl: 359.272	test ppl: 331.079
iter: 98000	loss: 5.025	valid ppl: 358.104	test ppl: 330.735
iter: 99000	loss: 6.099	valid ppl: 359.493	test ppl: 332.385
iter: 100000	loss: 5.758	valid ppl: 363.906	test ppl: 338.656
iter: 101000	loss: 5.307	valid ppl: 366.070	test ppl: 338.717
iter: 102000	loss: 4.888	valid ppl: 363.193	test ppl: 334.761
iter: 103000	loss: 4.784	valid ppl: 360.439	test ppl: 335.582
iter: 104000	loss: 5.378	valid ppl: 358.911	test ppl: 333.429
iter: 105000	loss: 5.661	valid ppl: 367.201	test ppl: 341.870
iter: 106000	loss: 5.341	valid ppl: 363.014	test ppl: 337.048
iter: 107000	loss: 5.531	valid ppl: 366.408	test ppl: 336.081
iter: 108000	loss: 4.608	valid ppl: 371.565	test ppl: 343.209
iter: 109000	loss: 5.150	valid ppl: 375.699	test ppl: 347.906
iter: 110000	loss: 5.263	valid ppl: 375.274	test ppl: 348.138
iter: 111000	loss: 6.072	valid ppl: 376.338	test ppl: 347.975
iter: 112000	loss: 3.948	valid ppl: 375.983	test ppl: 349.681
iter: 113000	loss: 4.919	valid ppl: 363.334	test ppl: 338.493
iter: 114000	loss: 5.731	valid ppl: 370.428	test ppl: 348.121
iter: 115000	loss: 4.054	valid ppl: 367.392	test ppl: 342.245
iter: 116000	loss: 5.579	valid ppl: 378.941	test ppl: 346.577
iter: 117000	loss: 5.507	valid ppl: 373.634	test ppl: 343.827
iter: 118000	loss: 5.841	valid ppl: 381.766	test ppl: 353.871
iter: 119000	loss: 3.987	valid ppl: 373.888	test ppl: 348.492
iter: 120000	loss: 5.985	valid ppl: 380.544	test ppl: 349.972
iter: 121000	loss: 5.035	valid ppl: 378.927	test ppl: 351.184
iter: 122000	loss: 5.449	valid ppl: 376.795	test ppl: 349.100
iter: 123000	loss: 5.295	valid ppl: 373.193	test ppl: 348.194
iter: 124000	loss: 4.839	valid ppl: 379.660	test ppl: 352.385
iter: 125000	loss: 4.880	valid ppl: 377.974	test ppl: 348.478
iter: 126000	loss: 5.568	valid ppl: 381.914	test ppl: 351.382
iter: 127000	loss: 5.321	valid ppl: 381.210	test ppl: 349.505
iter: 128000	loss: 4.988	valid ppl: 387.501	test ppl: 356.721
iter: 129000	loss: 5.278	valid ppl: 394.325	test ppl: 365.700
iter: 130000	loss: 5.689	valid ppl: 384.427	test ppl: 354.155
iter: 131000	loss: 4.951	valid ppl: 381.228	test ppl: 352.549
iter: 132000	loss: 5.577	valid ppl: 376.637	test ppl: 350.981
iter: 133000	loss: 4.586	valid ppl: 380.821	test ppl: 353.218
iter: 134000	loss: 4.500	valid ppl: 385.075	test ppl: 355.373
iter: 135000	loss: 5.292	valid ppl: 388.422	test ppl: 356.752
iter: 136000	loss: 4.760	valid ppl: 386.332	test ppl: 357.553
iter: 137000	loss: 5.254	valid ppl: 389.925	test ppl: 359.584
iter: 138000	loss: 3.833	valid ppl: 391.905	test ppl: 361.942
iter: 139000	loss: 4.693	valid ppl: 394.554	test ppl: 362.312
iter: 140000	loss: 4.109	valid ppl: 390.104	test ppl: 359.804
iter: 141000	loss: 4.298	valid ppl: 382.692	test ppl: 358.725
iter: 142000	loss: 4.938	valid ppl: 389.983	test ppl: 364.128
iter: 143000	loss: 5.188	valid ppl: 388.163	test ppl: 360.948
iter: 144000	loss: 4.759	valid ppl: 392.547	test ppl: 359.054
iter: 145000	loss: 4.565	valid ppl: 390.227	test ppl: 355.837
iter: 146000	loss: 4.749	valid ppl: 391.652	test ppl: 360.657
iter: 147000	loss: 5.737	valid ppl: 396.928	test ppl: 367.509
iter: 148000	loss: 5.201	valid ppl: 399.924	test ppl: 368.178
iter: 149000	loss: 4.452	valid ppl: 398.228	test ppl: 365.112
iter: 150000	loss: 4.364	valid ppl: 392.757	test ppl: 362.888
iter: 151000	loss: 4.446	valid ppl: 388.451	test ppl: 358.918
iter: 152000	loss: 5.630	valid ppl: 394.770	test ppl: 364.486
iter: 153000	loss: 5.211	valid ppl: 399.868	test ppl: 367.450
iter: 154000	loss: 4.601	valid ppl: 401.044	test ppl: 366.177
iter: 155000	loss: 5.828	valid ppl: 407.132	test ppl: 374.679
iter: 156000	loss: 5.383	valid ppl: 403.493	test ppl: 370.688
iter: 157000	loss: 4.692	valid ppl: 406.831	test ppl: 376.695
iter: 158000	loss: 4.803	valid ppl: 406.189	test ppl: 373.391
iter: 159000	loss: 4.474	valid ppl: 403.905	test ppl: 372.028
