2018-02-25 17:52:33.939419: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:34.129200: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 9.84GiB
2018-02-25 17:52:34.316988: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 8.69GiB
2018-02-25 17:52:34.317125: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-25 17:52:34.317163: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-25 17:52:34.317172: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-25 17:52:34.317178: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-25 17:52:34.317190: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-25 17:52:34.317198: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 0	logppl: 10.405	valid ppl: 32684.555	test ppl: 32700.096
iter: 1000	logppl: 6.684	valid ppl: 881.514	test ppl: 858.810
iter: 2000	logppl: 6.523	valid ppl: 683.643	test ppl: 668.671
iter: 3000	logppl: 6.358	valid ppl: 579.709	test ppl: 559.304
iter: 4000	logppl: 6.360	valid ppl: 503.756	test ppl: 484.066
iter: 5000	logppl: 5.783	valid ppl: 449.286	test ppl: 431.960
iter: 6000	logppl: 7.581	valid ppl: 419.463	test ppl: 405.010
iter: 7000	logppl: 7.174	valid ppl: 387.449	test ppl: 375.440
iter: 8000	logppl: 5.918	valid ppl: 360.258	test ppl: 346.831
iter: 9000	logppl: 6.575	valid ppl: 346.267	test ppl: 335.061
iter: 10000	logppl: 6.205	valid ppl: 322.381	test ppl: 311.453
iter: 11000	logppl: 4.897	valid ppl: 311.215	test ppl: 300.987
iter: 12000	logppl: 6.490	valid ppl: 301.588	test ppl: 291.512
iter: 13000	logppl: 6.057	valid ppl: 295.707	test ppl: 284.360
iter: 14000	logppl: 5.374	valid ppl: 289.167	test ppl: 278.280
iter: 15000	logppl: 5.620	valid ppl: 278.763	test ppl: 269.705
iter: 16000	logppl: 5.704	valid ppl: 272.481	test ppl: 263.308
iter: 17000	logppl: 5.667	valid ppl: 269.392	test ppl: 259.559
iter: 18000	logppl: 5.606	valid ppl: 262.893	test ppl: 253.277
iter: 19000	logppl: 5.491	valid ppl: 257.061	test ppl: 249.341
iter: 20000	logppl: 6.063	valid ppl: 254.005	test ppl: 246.609
iter: 21000	logppl: 6.712	valid ppl: 252.754	test ppl: 244.223
iter: 22000	logppl: 6.148	valid ppl: 252.782	test ppl: 242.067
iter: 23000	logppl: 5.292	valid ppl: 248.288	test ppl: 237.838
iter: 24000	logppl: 6.000	valid ppl: 246.990	test ppl: 237.088
iter: 25000	logppl: 5.802	valid ppl: 242.425	test ppl: 234.580
iter: 26000	logppl: 6.425	valid ppl: 240.485	test ppl: 231.604
iter: 27000	logppl: 5.255	valid ppl: 239.656	test ppl: 230.522
iter: 28000	logppl: 4.650	valid ppl: 238.013	test ppl: 229.030
iter: 29000	logppl: 4.875	valid ppl: 236.949	test ppl: 227.904
iter: 30000	logppl: 5.461	valid ppl: 232.939	test ppl: 225.774
iter: 31000	logppl: 5.942	valid ppl: 235.312	test ppl: 225.690
iter: 32000	logppl: 5.463	valid ppl: 232.799	test ppl: 222.888
iter: 33000	logppl: 5.068	valid ppl: 232.599	test ppl: 223.373
iter: 34000	logppl: 5.387	valid ppl: 228.522	test ppl: 220.187
iter: 35000	logppl: 5.328	valid ppl: 229.807	test ppl: 222.264
iter: 36000	logppl: 5.383	valid ppl: 230.292	test ppl: 220.966
iter: 37000	logppl: 5.804	valid ppl: 227.187	test ppl: 218.582
iter: 38000	logppl: 5.519	valid ppl: 225.888	test ppl: 218.102
iter: 39000	logppl: 5.807	valid ppl: 226.049	test ppl: 218.640
iter: 40000	logppl: 4.835	valid ppl: 225.699	test ppl: 217.640
iter: 41000	logppl: 4.650	valid ppl: 226.790	test ppl: 216.951
iter: 42000	logppl: 4.975	valid ppl: 225.606	test ppl: 216.093
iter: 43000	logppl: 5.274	valid ppl: 225.207	test ppl: 216.228
iter: 44000	logppl: 5.921	valid ppl: 223.981	test ppl: 215.812
iter: 45000	logppl: 4.708	valid ppl: 224.406	test ppl: 214.756
iter: 46000	logppl: 5.667	valid ppl: 224.157	test ppl: 214.989
iter: 47000	logppl: 4.982	valid ppl: 222.654	test ppl: 214.791
iter: 48000	logppl: 4.747	valid ppl: 220.930	test ppl: 212.649
iter: 49000	logppl: 5.072	valid ppl: 221.859	test ppl: 213.916
iter: 50000	logppl: 5.752	valid ppl: 225.173	test ppl: 215.305
iter: 51000	logppl: 5.104	valid ppl: 222.941	test ppl: 212.795
iter: 52000	logppl: 5.894	valid ppl: 222.359	test ppl: 212.791
iter: 53000	logppl: 6.221	valid ppl: 223.218	test ppl: 214.383
iter: 54000	logppl: 4.880	valid ppl: 221.080	test ppl: 212.113
iter: 55000	logppl: 5.859	valid ppl: 222.546	test ppl: 212.742
iter: 56000	logppl: 5.324	valid ppl: 221.910	test ppl: 213.269
iter: 57000	logppl: 5.746	valid ppl: 220.567	test ppl: 211.623
iter: 58000	logppl: 4.901	valid ppl: 220.832	test ppl: 212.461
iter: 59000	logppl: 5.507	valid ppl: 221.835	test ppl: 213.173
iter: 60000	logppl: 5.083	valid ppl: 221.949	test ppl: 213.008
iter: 61000	logppl: 4.869	valid ppl: 221.724	test ppl: 212.583
iter: 62000	logppl: 5.267	valid ppl: 222.134	test ppl: 213.702
iter: 63000	logppl: 5.686	valid ppl: 220.337	test ppl: 211.719
iter: 64000	logppl: 5.247	valid ppl: 222.741	test ppl: 213.650
iter: 65000	logppl: 4.725	valid ppl: 222.516	test ppl: 212.701
iter: 66000	logppl: 5.565	valid ppl: 219.339	test ppl: 211.246
iter: 67000	logppl: 5.738	valid ppl: 219.918	test ppl: 212.207
iter: 68000	logppl: 4.321	valid ppl: 221.863	test ppl: 213.435
iter: 69000	logppl: 4.881	valid ppl: 223.071	test ppl: 212.722
iter: 70000	logppl: 4.758	valid ppl: 221.769	test ppl: 211.742
iter: 71000	logppl: 5.012	valid ppl: 221.880	test ppl: 212.215
iter: 72000	logppl: 4.480	valid ppl: 220.253	test ppl: 211.763
iter: 73000	logppl: 5.287	valid ppl: 221.727	test ppl: 211.916
iter: 74000	logppl: 5.718	valid ppl: 222.573	test ppl: 212.982
iter: 75000	logppl: 5.452	valid ppl: 222.304	test ppl: 212.995
iter: 76000	logppl: 4.724	valid ppl: 221.194	test ppl: 211.884
iter: 77000	logppl: 5.215	valid ppl: 219.914	test ppl: 212.097
iter: 78000	logppl: 5.418	valid ppl: 223.284	test ppl: 213.358
iter: 79000	logppl: 4.178	valid ppl: 222.192	test ppl: 212.107
iter: 80000	logppl: 4.899	valid ppl: 222.769	test ppl: 212.866
iter: 81000	logppl: 5.171	valid ppl: 224.104	test ppl: 214.459
iter: 82000	logppl: 4.961	valid ppl: 221.946	test ppl: 213.275
iter: 83000	logppl: 5.131	valid ppl: 223.830	test ppl: 214.517
iter: 84000	logppl: 5.261	valid ppl: 224.608	test ppl: 214.239
iter: 85000	logppl: 4.478	valid ppl: 221.219	test ppl: 212.246
