2018-02-25 17:52:30.983542: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:31.165897: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.40GiB
2018-02-25 17:52:31.165939: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 0	loss: 10.391	valid ppl: 32929.842	test ppl: 32956.705
iter: 1000	loss: 9.124	valid ppl: 3285.079	test ppl: 3262.056
iter: 2000	loss: 8.402	valid ppl: 2349.268	test ppl: 2208.717
iter: 3000	loss: 7.086	valid ppl: 1793.876	test ppl: 1713.222
iter: 4000	loss: 7.854	valid ppl: 1749.060	test ppl: 1679.343
iter: 5000	loss: 7.627	valid ppl: 1491.232	test ppl: 1494.015
iter: 6000	loss: 7.322	valid ppl: 1597.652	test ppl: 1585.354
iter: 7000	loss: 7.490	valid ppl: 1468.884	test ppl: 1430.528
iter: 8000	loss: 7.497	valid ppl: 1467.515	test ppl: 1425.447
iter: 9000	loss: 7.550	valid ppl: 1580.245	test ppl: 1528.179
iter: 10000	loss: 6.775	valid ppl: 1421.248	test ppl: 1368.631
iter: 11000	loss: 6.638	valid ppl: 1445.646	test ppl: 1406.383
iter: 12000	loss: 6.740	valid ppl: 1348.823	test ppl: 1329.521
iter: 13000	loss: 8.114	valid ppl: 1343.134	test ppl: 1302.296
iter: 14000	loss: 8.885	valid ppl: 1408.258	test ppl: 1366.371
iter: 15000	loss: 7.635	valid ppl: 1342.636	test ppl: 1292.500
iter: 16000	loss: 6.619	valid ppl: 1378.570	test ppl: 1343.898
iter: 17000	loss: 6.283	valid ppl: 1327.444	test ppl: 1275.835
iter: 18000	loss: 8.951	valid ppl: 1280.571	test ppl: 1250.309
iter: 19000	loss: 7.061	valid ppl: 1388.155	test ppl: 1357.485
iter: 20000	loss: 7.117	valid ppl: 1273.473	test ppl: 1233.286
iter: 21000	loss: 6.709	valid ppl: 1283.806	test ppl: 1284.528
iter: 22000	loss: 7.102	valid ppl: 1253.185	test ppl: 1226.814
iter: 23000	loss: 8.192	valid ppl: 1245.155	test ppl: 1229.407
iter: 24000	loss: 7.327	valid ppl: 1266.017	test ppl: 1219.420
iter: 25000	loss: 6.837	valid ppl: 1288.490	test ppl: 1251.958
iter: 26000	loss: 6.760	valid ppl: 1321.085	test ppl: 1271.611
iter: 27000	loss: 7.606	valid ppl: 1290.438	test ppl: 1263.144
iter: 28000	loss: 7.837	valid ppl: 1446.557	test ppl: 1410.443
iter: 29000	loss: 7.985	valid ppl: 1254.835	test ppl: 1229.043
iter: 30000	loss: 8.502	valid ppl: 1270.654	test ppl: 1250.437
iter: 31000	loss: 7.098	valid ppl: 1317.121	test ppl: 1274.739
iter: 32000	loss: 6.787	valid ppl: 1333.880	test ppl: 1272.932
iter: 33000	loss: 7.513	valid ppl: 1266.022	test ppl: 1232.206
iter: 34000	loss: 7.078	valid ppl: 1239.864	test ppl: 1232.371
iter: 35000	loss: 6.533	valid ppl: 1257.319	test ppl: 1237.542
iter: 36000	loss: 7.287	valid ppl: 1222.692	test ppl: 1224.258
iter: 37000	loss: 6.574	valid ppl: 1272.922	test ppl: 1275.103
iter: 38000	loss: 7.983	valid ppl: 1219.372	test ppl: 1221.122
iter: 39000	loss: 7.245	valid ppl: 1240.227	test ppl: 1224.799
iter: 40000	loss: 7.089	valid ppl: 1421.283	test ppl: 1371.333
iter: 41000	loss: 6.993	valid ppl: 1284.306	test ppl: 1243.312
iter: 42000	loss: 8.348	valid ppl: 1249.122	test ppl: 1215.090
iter: 43000	loss: 7.059	valid ppl: 1317.740	test ppl: 1296.120
iter: 44000	loss: 5.802	valid ppl: 1331.964	test ppl: 1278.345
iter: 45000	loss: 8.097	valid ppl: 1351.510	test ppl: 1294.986
iter: 46000	loss: 8.261	valid ppl: 1329.506	test ppl: 1260.179
iter: 47000	loss: 6.865	valid ppl: 1345.794	test ppl: 1290.447
iter: 48000	loss: 7.287	valid ppl: 1303.998	test ppl: 1255.263
